model,.metric,mean,std_err,n
Random forest,accuracy,0.9923057303879221,0.0022585272918758223,25
LASSO logistic,accuracy,0.8920469784853347,0.006547743584910481,25
XGBoost,accuracy,0.8104644370397794,0.004198294631237909,25
Random forest,bal_accuracy,0.9851239212764636,0.005504352504631881,25
LASSO logistic,bal_accuracy,0.7564819022785124,0.012323797465070552,25
XGBoost,bal_accuracy,0.5330475569628111,0.007819098441102724,25
Random forest,f_meas,0.9952934528536812,0.0013708841437513623,25
LASSO logistic,f_meas,0.9359630283359714,0.004001453425747519,25
XGBoost,f_meas,0.8933598088021424,0.0023859854005989045,25
Random forest,pr_auc,0.9998726704501598,6.0699362939522494e-5,25
LASSO logistic,pr_auc,0.8837074818570023,0.012449936198264169,25
XGBoost,pr_auc,0.8626698151285254,0.010017244566374189,25
Random forest,roc_auc,0.9994598621717266,2.55209342634472e-4,25
LASSO logistic,roc_auc,0.7865302042590179,0.019518174715719296,25
XGBoost,roc_auc,0.6348093065126964,0.02105286072622738,25
Random forest,sens,0.9966214689265537,0.0013793181044995959,25
XGBoost,sens,0.9790621468926554,0.0032714466360874903,25
LASSO logistic,sens,0.9742824858757062,0.006487843950254769,25
Random forest,spec,0.9736263736263736,0.011062028476587178,25
LASSO logistic,spec,0.5386813186813186,0.024701820377457,25
XGBoost,spec,0.08703296703296703,0.015006070233857447,25
