cutoff,.metric,mean,std_err,n,.estimator,.config
1,NA,NA,NA,NA,NA,NA
2,accuracy,0.7296803652968037,0.008398422408052744,15,binary,pre0_mod0_post0
2,bal_accuracy,0.5980392156862745,0.013002794028901069,15,binary,pre0_mod0_post0
2,f_meas,0.8278923067685334,0.004805160971659621,15,binary,pre0_mod0_post0
2,pr_auc,0.8245917854224185,0.008067833450865494,15,binary,pre0_mod0_post0
2,roc_auc,0.6871657754010695,0.014425869574533803,15,binary,pre0_mod0_post0
2,sens,0.9294117647058824,0.005344197206817626,15,binary,pre0_mod0_post0
2,spec,0.26666666666666666,0.025814807819697964,15,binary,pre0_mod0_post0
3,accuracy,0.8310886228694447,0.005211795587382418,15,binary,pre0_mod0_post0
3,bal_accuracy,0.5909360319529811,0.011413553598531535,15,binary,pre0_mod0_post0
3,f_meas,0.9037409178219381,0.002884410100176465,15,binary,pre0_mod0_post0
3,pr_auc,0.8859944897110956,0.007127973102789649,15,binary,pre0_mod0_post0
3,roc_auc,0.685395790650028,0.01808282939004094,15,binary,pre0_mod0_post0
3,sens,0.9774764595103578,0.003933845340840124,15,binary,pre0_mod0_post0
3,spec,0.2043956043956044,0.02355782103117822,15,binary,pre0_mod0_post0
4,accuracy,0.8429354011545792,0.003435293880073304,15,binary,pre0_mod0_post0
4,bal_accuracy,0.5247373256627619,0.007391890296792211,15,binary,pre0_mod0_post0
4,f_meas,0.9137908967049724,0.00201397102396151,15,binary,pre0_mod0_post0
4,pr_auc,0.9178884695833956,0.0065230084634697195,15,binary,pre0_mod0_post0
4,roc_auc,0.680058250404628,0.025871988586419432,15,binary,pre0_mod0_post0
4,sens,0.9838180856689582,0.004461313737233579,15,binary,pre0_mod0_post0
4,spec,0.06565656565656566,0.016426624180128857,15,binary,pre0_mod0_post0
5,accuracy,0.9041095890410958,0.009357945904985935,15,binary,pre0_mod0_post0
5,bal_accuracy,0.5129822954822955,0.007755937959554911,15,binary,pre0_mod0_post0
5,f_meas,0.9491491686398873,0.005210894921889376,15,binary,pre0_mod0_post0
5,pr_auc,0.949681866784764,0.009430728295589452,15,binary,pre0_mod0_post0
5,roc_auc,0.705250603933253,0.019727229905473858,15,binary,pre0_mod0_post0
5,sens,0.996996336996337,0.0016067188424513722,15,binary,pre0_mod0_post0
5,spec,0.028968253968253966,0.015617990995360655,15,binary,pre0_mod0_post0
