component,variance_explained,cumulative_variance
PC1,0.2945914530754711,0.2945914530754711
PC2,0.23114301234011808,0.5257344654155891
PC3,0.16496606810571643,0.6907005335213056
PC4,0.07247135809457857,0.7631718916158842
PC5,0.05134805955817007,0.8145199511740542
PC6,0.04150399818774862,0.8560239493618028
PC7,0.033358054166323675,0.8893820035281266
PC8,0.029547425439634872,0.9189294289677614
PC9,0.024298114959488627,0.9432275439272501
PC10,0.018468762931663316,0.9616963068589134
PC11,0.014422382015370843,0.9761186888742842
PC12,0.0105935279499553,0.9867122168242395
PC13,0.00917742585160125,0.9958896426758407
PC14,0.0039024161809596974,0.9997920588568004
PC15,1.9596360282820492e-4,0.9999880224596286
PC16,1.1599075543729502e-5,0.9999996215351724
PC17,3.7846482773429223e-7,1
